icd,group
G43.601,Hx of stroke or TIA
G43.609,Hx of stroke or TIA
G43.611,Hx of stroke or TIA
G43.619,Hx of stroke or TIA
I60.00,Hx of stroke or TIA
I60.01,Hx of stroke or TIA
I60.02,Hx of stroke or TIA
I60.10,Hx of stroke or TIA
I60.11,Hx of stroke or TIA
I60.12,Hx of stroke or TIA
I60.2,Hx of stroke or TIA
I60.20,Hx of stroke or TIA
I60.21,Hx of stroke or TIA
I60.22,Hx of stroke or TIA
I60.30,Hx of stroke or TIA
I60.31,Hx of stroke or TIA
I60.32,Hx of stroke or TIA
I60.4,Hx of stroke or TIA
I60.50,Hx of stroke or TIA
I60.51,Hx of stroke or TIA
I60.52,Hx of stroke or TIA
I60.6,Hx of stroke or TIA
I60.7,Hx of stroke or TIA
I60.8,Hx of stroke or TIA
I60.9,Hx of stroke or TIA
I61.0,Hx of stroke or TIA
I61.1,Hx of stroke or TIA
I61.2,Hx of stroke or TIA
I61.3,Hx of stroke or TIA
I61.4,Hx of stroke or TIA
I61.5,Hx of stroke or TIA
I61.6,Hx of stroke or TIA
I61.8,Hx of stroke or TIA
I61.9,Hx of stroke or TIA
I62.00,Hx of stroke or TIA
I62.01,Hx of stroke or TIA
I62.02,Hx of stroke or TIA
I62.03,Hx of stroke or TIA
I62.1,Hx of stroke or TIA
I62.9,Hx of stroke or TIA
I63.00,Hx of stroke or TIA
I63.011,Hx of stroke or TIA
I63.012,Hx of stroke or TIA
I63.013,Hx of stroke or TIA
I63.019,Hx of stroke or TIA
I63.02,Hx of stroke or TIA
I63.031,Hx of stroke or TIA
I63.032,Hx of stroke or TIA
I63.033,Hx of stroke or TIA
I63.039,Hx of stroke or TIA
I63.09,Hx of stroke or TIA
I63.10,Hx of stroke or TIA
I63.111,Hx of stroke or TIA
I63.112,Hx of stroke or TIA
I63.113,Hx of stroke or TIA
I63.119,Hx of stroke or TIA
I63.12,Hx of stroke or TIA
I63.131,Hx of stroke or TIA
I63.132,Hx of stroke or TIA
I63.133,Hx of stroke or TIA
I63.139,Hx of stroke or TIA
I63.19,Hx of stroke or TIA
I63.20,Hx of stroke or TIA
I63.211,Hx of stroke or TIA
I63.212,Hx of stroke or TIA
I63.213,Hx of stroke or TIA
I63.219,Hx of stroke or TIA
I63.22,Hx of stroke or TIA
I63.231,Hx of stroke or TIA
I63.232,Hx of stroke or TIA
I63.233,Hx of stroke or TIA
I63.239,Hx of stroke or TIA
I63.29,Hx of stroke or TIA
I63.30,Hx of stroke or TIA
I63.311,Hx of stroke or TIA
I63.312,Hx of stroke or TIA
I63.313,Hx of stroke or TIA
I63.319,Hx of stroke or TIA
I63.321,Hx of stroke or TIA
I63.322,Hx of stroke or TIA
I63.323,Hx of stroke or TIA
I63.329,Hx of stroke or TIA
I63.331,Hx of stroke or TIA
I63.332,Hx of stroke or TIA
I63.333,Hx of stroke or TIA
I63.339,Hx of stroke or TIA
I63.341,Hx of stroke or TIA
I63.342,Hx of stroke or TIA
I63.343,Hx of stroke or TIA
I63.349,Hx of stroke or TIA
I63.39,Hx of stroke or TIA
I63.40,Hx of stroke or TIA
I63.411,Hx of stroke or TIA
I63.412,Hx of stroke or TIA
I63.413,Hx of stroke or TIA
I63.419,Hx of stroke or TIA
I63.421,Hx of stroke or TIA
I63.422,Hx of stroke or TIA
I63.423,Hx of stroke or TIA
I63.429,Hx of stroke or TIA
I63.431,Hx of stroke or TIA
I63.432,Hx of stroke or TIA
I63.433,Hx of stroke or TIA
I63.439,Hx of stroke or TIA
I63.441,Hx of stroke or TIA
I63.442,Hx of stroke or TIA
I63.443,Hx of stroke or TIA
I63.449,Hx of stroke or TIA
I63.49,Hx of stroke or TIA
I63.50,Hx of stroke or TIA
I63.511,Hx of stroke or TIA
I63.512,Hx of stroke or TIA
I63.513,Hx of stroke or TIA
I63.519,Hx of stroke or TIA
I63.521,Hx of stroke or TIA
I63.522,Hx of stroke or TIA
I63.523,Hx of stroke or TIA
I63.529,Hx of stroke or TIA
I63.531,Hx of stroke or TIA
I63.532,Hx of stroke or TIA
I63.533,Hx of stroke or TIA
I63.539,Hx of stroke or TIA
I63.541,Hx of stroke or TIA
I63.542,Hx of stroke or TIA
I63.543,Hx of stroke or TIA
I63.549,Hx of stroke or TIA
I63.59,Hx of stroke or TIA
I63.6,Hx of stroke or TIA
I63.8,Hx of stroke or TIA
I63.81,Hx of stroke or TIA
I63.89,Hx of stroke or TIA
I63.9,Hx of stroke or TIA
G45.9,Hx of stroke or TIA
I10,Hypertension
O10.011,Hypertension
O10.012,Hypertension
O10.013,Hypertension
O10.019,Hypertension
O10.02,Hypertension
O10.03,Hypertension
O10.911,Hypertension
O10.912,Hypertension
O10.913,Hypertension
O10.919,Hypertension
O10.92,Hypertension
O10.93,Hypertension
O16.1,Hypertension
O16.2,Hypertension
O16.3,Hypertension
O16.4,Hypertension
O16.5,Hypertension
O16.9,Hypertension
I15.0,Hypertension
I15.1,Hypertension
I15.2,Hypertension
I15.8,Hypertension
I15.9,Hypertension
O10.411,Hypertension
O10.412,Hypertension
O10.413,Hypertension
O10.419,Hypertension
O10.42,Hypertension
O10.43,Hypertension
O11.1,Hypertension
O11.2,Hypertension
O11.3,Hypertension
O11.4,Hypertension
O11.5,Hypertension
O11.9,Hypertension
O13.1,Hypertension
O13.2,Hypertension
O13.3,Hypertension
O13.4,Hypertension
O13.5,Hypertension
O13.9,Hypertension
E78.0,Hyperlipidemia
E78.00,Hyperlipidemia
E78.01,Hyperlipidemia
E78.1,Hyperlipidemia
E78.2,Hyperlipidemia
E78.3,Hyperlipidemia
